course_number	term	instructor	question_id	question_response
105	Fall 2024	Dr. Kim	Q1	Dr. Kim clearly knows the subject deeply but struggles to communicate it in an accessible way for students at this level.
105	Fall 2024	Dr. Kim	Q1	I appreciated Dr. Kim's enthusiasm for the material even when the lectures were hard to follow at times.
105	Fall 2024	Dr. Kim	Q1	The course started strong but became increasingly disorganized in the second half of the semester. More structure is needed.
105	Fall 2024	Dr. Kim	Q1	Dr. Kim made genuine efforts to be inclusive and regularly checked in with the class about pacing and understanding.
105	Fall 2024	Dr. Kim	Q1	I felt uncomfortable during a few class discussions where certain perspectives were not handled with enough care or sensitivity.
105	Fall 2024	Dr. Kim	Q1	The workload was unreasonably heavy for a three credit course. It was difficult to balance with my other responsibilities.
105	Fall 2024	Dr. Kim	Q1	Dr. Kim was responsive to feedback midway through the semester and made real adjustments. I appreciated that willingness to adapt.
105	Fall 2024	Dr. Kim	Q2	The grading took far too long. Waiting four weeks for assignment feedback made it impossible to learn from mistakes in time.
105	Fall 2024	Dr. Kim	Q2	I needed more scaffolding on the major project. The expectations were unclear until very late in the process.
105	Fall 2024	Dr. Kim	Q2	There should be alternative ways to demonstrate understanding beyond timed exams. Not all students perform equally under pressure.
105	Fall 2024	Dr. Kim	Q2	The reading list was thoughtfully curated and included voices I had never encountered before. That was genuinely appreciated.
105	Fall 2024	Dr. Kim	Q2	I had to miss several office hours because they were only offered during times that conflicted with my work schedule.
105	Fall 2024	Dr. Kim	Q2	Dr. Kim should consider providing more low cost or free alternatives to the required course materials going forward.
