course_number	term	instructor	question_id	question_response
102	Spring 2024	Prof. Jones	Q1	Prof. Jones is knowledgeable but the lectures move too fast. I often left class feeling more confused than when I arrived.
102	Spring 2024	Prof. Jones	Q1	I struggled to follow along most of the time. It felt like prior knowledge was assumed that was never actually covered in class.
102	Spring 2024	Prof. Jones	Q1	The class environment felt unwelcoming at times. Some questions were brushed off which made me afraid to ask for help.
102	Spring 2024	Prof. Jones	Q1	I felt like my questions were dismissed compared to other students. It was discouraging and made me disengage from the material.
102	Spring 2024	Prof. Jones	Q1	The content is interesting but the delivery needs significant improvement. I learn differently and the current format does not work for me.
102	Spring 2024	Prof. Jones	Q1	Prof. Jones rarely acknowledged students who raised equity concerns about the course materials. That felt dismissive and frustrating.
102	Spring 2024	Prof. Jones	Q2	The slides need to be posted before class not after. Some students take longer to process information and need them in advance.
102	Spring 2024	Prof. Jones	Q2	Grading was inconsistent across sections. Students in other sections got more feedback than we did which feels unfair.
102	Spring 2024	Prof. Jones	Q2	Office hours were almost never available at times that worked for students who commute or have jobs. This is a structural problem.
102	Spring 2024	Prof. Jones	Q2	The textbook was extremely expensive and no alternative was provided. Not everyone can afford that and it should be considered.
102	Spring 2024	Prof. Jones	Q2	I did not feel comfortable speaking up in class. The environment felt like it rewarded certain types of students over others.
102	Spring 2024	Prof. Jones	Q2	More worked examples and slower pacing would help a lot. The current approach leaves many students behind.
